11_voice_NPC_5004_100#0,"""……아, 저기……<br>조심해서 다녀와, 알았지?"""
11_voice_NPC_5004_100#9,"""시온 씨에 관해선<br>아무한테도 말하지 않았어.<br>괜한 걱정을 끼칠 것 같아서……"""
Matoi_mb14_020#0,"""그러니까 시온 씨 이야기는<br><%me>, 우리 둘만의<br>비밀이네."""
Matoi_mb14_030#0,"""……후훗, 왜일까.<br>왠지 그리워, 이런 거."""
Matoi_mb15_010#0,"""있잖아, <%me>.<br>왠지 분위기가 날카롭네."""
Matoi_mb15_020#0,"""네가 아니라 주변이 그래.<br>왜일까, 무슨 일이 있는 걸까.<br>뭔가 변하고 있는 것 같아."""
Matoi_mb16_010#0,"""있잖아, <%me>.<br>괜찮아?\u3000이상한 일에<br>휘말리고 있는 건 아니지?"""
11_voice_NPC_5004_104#8,"""요즘 공기가 조금 차갑달까,<br>무서운 느낌이 들어.<br>아무 일도 없으면 좋겠는데……"""
11_voice_NPC_5004_104#9,"""아, <%me>.<br>응, 내 몸은 괜찮아."""
Matoi_mb16zeno_020#0,"""필리아 씨가 무리는 금물이라며<br>무기까지 빼앗아 갔지만……<br>몸은 정말 아무렇지도 않아."""
Matoi_mb16zeno_030#0,"""……이것도<br>시온 씨 덕분일까.<br>……시온 씨."""
11_voice_NPC_5004_104#10,"""후훗, 기뻐.<br>이제부터는 나도<br>함께 임무에 갈 수 있잖아."""
Matoi_mb18_020#0,"""<%me>, 너를<br>도울 수 있다고 생각하면<br>정말 기뻐."""
11_voice_NPC_5004_100#10,"""모두를 지키기 위해<br>함께 힘내자."""
11_voice_NPC_5004_104#11,"""검사는 왜 꼭 받아야<br>하는 걸까.<br>난 이렇게나 몸 상태가 좋은데……"""
Matoi_mb19_020#0,"""……아, 알고 있어.<br>검사도 제대로 받을게.<br>필리아 씨에게 혼날 테니까."""
11_voice_NPC_5004_100#11,"""다들 날 걱정해서<br>하는 말이잖아.<br>……받으라고 하면 받을게. 응."""
