11_voice_NPC_5062_100#0,"""Captain, are you OK? Actually, I really wanted to give you this..."""
11_voice_NPC_5062_100#19,"""先輩。わたし、一人前の<br>アークスになりました。<br>これから、よろしくお願いしますね。"""
11_voice_NPC_5062_100#20,"""先輩、こんにちは。<br>東京エリアって、向こうの文化を<br>感じられて、とっても面白いですね。"""
st01_020#1,"""看板とか、お店とかたくさんあって<br>ちょっと行ってみたいなって<br>思ったりします。"""
st01_030#0,"""可愛い服とか、面白そうな食べ物とか<br>見てて楽しいです。<br>も、もちろん任務はこなしてますよ！"""
11_voice_NPC_5062_104#3,"""先輩、大丈夫でしたか？<br>まさかアークスシップに直接<br>敵が攻め込んでくるなんて……"""
st01_020#2,"""安全に過ごすためのリミッターが<br>逆利用されてしまうなんて<br>考えもしませんでした。"""
st01_030#1,"""……正直、怖かったです。<br>けど、先輩ならなんとかしてくれる。<br>そう信じていましたよ。"""
st01_010#1,"""先輩、こんにちは。<br>今、ダーカーを模した幻創種が<br>出てきたって話で、もちきりです。"""
st01_020#3,"""どんな相手なんでしょう……<br>普通のダーカーとは違った相手<br>なんですよね。"""
st01_030#2,"""怖くない、って言ったら<br>嘘になりますけど……頑張ります。"""
sq00_010#0,"""先輩、こんにちは。<br>一大作戦を前に、皆さん緊張されてる<br>様子です。先輩はどうですか？"""
11_voice_NPC_5062_100#21,"""かくいうわたしも緊張で震えが……<br>でも、がんばりますっ！"""
11_voice_NPC_5062_101#2,"""先輩、こんにちは。<br>この前の作戦、アークスの被害は<br>最小限で抑えられたそうです。"""
sq01_020#0,"""こうして先輩も戻ってきてくれましたし<br>……よかったです。"""
11_voice_NPC_5062_104#4,"""先輩、こんにちは。<br>……その、お身体大丈夫ですか？"""
sq13_020#0,"""この前の戦い、見てました。<br>……見てることしか出来ませんでした。"""
11_voice_NPC_5062_109#0,"""わたし、もうアークスなのに……<br>怖くて……震えてしまって……<br>ほんとうに、情けないです。"""
Afin_01_10#0,"""あっ！\u3000こんにちは、先輩！<br>メモなんか持って、どうしたんですか？"""
11_voice_NPC_5062_106#0,"""……へ？<br>ああ、ショップエリアのアフィンくんに<br>相談したいことを聞いてるんですね。"""
Afin_01_30#0,"""いえ、別に話しづらいことでは……<br>というより、むしろ相談ですらなく<br>しいて言えば……雑談？"""
11_voice_NPC_5062_101#3,"""わたし、会話があまり上手じゃなくて<br>……でもなぜか、あのアフィンくんとは<br>すごく話がはずむんですよね。"""
Afin_01_50#0,"""話を真剣に聞いてくれたり<br>応えやすい話題を振ってくれるから？<br>また、一緒にお話したいです。"""
11_voice_NPC_5062_105#0,"""We've been told to prepare for the worst..."""
ep6_sq00_02#0,"""I'm still very afraid...<br>But I've seen all of you fight, so I know I need to try my hardest too."""
11_voice_NPC_5062_109#1,"""C-captain...<br>What are we going to do...<br>I never imagined things would get this bad..."""
ep6_sq01_02#0,"""I-I just don't know what to do...<br>Captain, I'm so scared..."""
ep6_sq02_01#0,"""C-captain...<br>Thank you for saving us... Thank you so much..."""
11_voice_NPC_5062_100#22,"""I-I'll do my best to help you from now on!"""
Stratos_01_010#0,"""H-hello, captain.<br>Um... Do I have any worries about Valentine's Day?"""
Stratos_01_020#0,"""Um, um... There is one thing...<br>I want to give someone a chocolate as thanks for taking care of me..."""
11_voice_NPC_5062_105#1,"""I poured all my heart into it, but I only made one, so I can't try it...<br>I'm really worried about how it'll taste..."""
